" The customer doesn't exist in the system anymore"," El cliente ya no existe más en el sistema"
"""%s"" coupon code is not valid.","""%s"" no es un código válido de cupón."
"%s / %s rate:","%s / %s tasa:"
"%s for %s","%s para %s"
"%s order(s) successfully canceled","%s pedido(s) cancelado(s) satisfactoriamente"
"%s order(s) successfully put on hold","%s pedido(s) puesto(s) en espera satisfactoriamente"
"%s order(s) successfully released from holding status","%s pedido(s) liberado(s) del estatus de espera satisfactoriamente"
"* - Enter custom price excluding tax","* - Introduzca precio personalizado excluyendo impuestos"
"* - Enter custom price including tax","* - Introduzca precio personalizado incluyendo impuestos"
"About This Order:","Acerca de este pedido:"
"About Your Order","Acerca de su pedido"
"Account Information","Información de cuenta"
"Action","Acción"
"Actions","Acciones"
"Add","Añadir"
"Add Gift Messsage","Añadir mensaje al regalo"
"Add New Address","Añadir domicilio nuevo"
"Add Order Comments","Añadir comentarios al pedido"
"Add Products","Añadir productos"
"Add Selected Product(s) to Option","Añadir producto(s) seleccionado(s) a la opción"
"Add Selected Product(s) to Order","Añadir producto(s) seleccionado(s) al pedido"
"Add To Order","Añadir al pedido"
"Add Tracking Number","Añadir número de guía"
"Add a gift message for <strong>each gift item</strong>","Añadir mensaje de regalo para <strong>cada artículo de regalo</strong>"
"Add a gift message for the <strong>entire order</strong>","Añadir un mensaje al regalo para <strong>todo</strong> el pedido"
"Add comment to order","Añadir comentario al pedido"
"Add new comment to shipment","Añadir comentario nuevo al envío"
"Add new tracking number","Añadir número de guía nuevo"
"Add to Cart","Añadir al Carrito"
"Address","Domicilio"
"Adjustment Fee","Tarifa de Ajuste"
"Adjustment Fee:","Tarifa de Ajuste:"
"Adjustment Refund","Reembolso de Ajuste"
"Adjustment Refund:","Reembolso de Ajuste:"
"Allow Reorder","Permitir Repetir Pedido"
"Amount","Monto"
"Append Comments","Anexar comentarios"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Código de Cupón"
"Are you sure you want to cancel this order?","¿Está seguro que desea cancelar éste pedido?"
"Are you sure?","¿Está seguro?"
"Are you sure? This order will be cancelled and a new one will be created instead","¿Está seguro? Éste pedido será cancelado y uno nuevo será creado en su lugar"
"Back to My Orders","Regresar a Mis pedidos"
"Backordered","Pedido Pendientes"
"Bill to First name","Facturar al Nombre de Pila"
"Bill to Last name","Facturar al Apellido"
"Bill to Name","Facturar a Nombre"
"Billing Address","Domicilio de envío"
"Buy %s for price %s","Comprar %s a precio %s"
"Can not add order history.","No es posible agregar historial de pedido."
"Can not create block ""%s""","No es posible crear bloque ""%s"""
"Can not do invoice for order.","No puede facturar para el pedido."
"Can not do shipment for order.","No es posible hacer el envío para el pedido."
"Can not register existing creditmemo","No es posible registrar la nota de crédito existente"
"Can not register existing invoice","No es posible registrar la factura existente"
"Can not register existing shipment","No es posible registrar el envío existente"
"Can't get order instance","No es posible obtener la instancia de Pedido"
"Cancel","Cancelar"
"Cancel invoice","Cancelar factura"
"Cancel order","Cancelar pedido"
"Canceled","Cancelado"
"Cannot create an empty shipment.","No puede crear un envía vacio."
"Capture","Captura"
"Capture Amount","Monto de Captura"
"Capture Offline","Capturar sin conectar"
"Capture Online","Capturar Conectado"
"Capture invoice","Capturar factura"
"Carrier","Transportista"
"Change Status","Cambiar Estatus"
"Change status, add comments","Cambiar estatus, añadir comentarios"
"Checkout totals sort order","Ordenar por totales de Salida de Pedido"
"Click to change shipping method","De clic para cambiar el método de envío"
"Closed","Cerrado"
"Comment","Comentar"
"Comment Text","Texto de Comentario"
"Comments","Comentarios"
"Comments History","Historial de comentarios"
"Complete","Completo"
"Country","País"
"Coupons","Cupones"
"Create","Crear"
"Create New Customer","Crear Cliente Nuevo"
"New Invoice for Order #%s","Nueva factura del pedido %s"
"Create New Order","Crear Pedido Nuevo"
"Create New Order for %s","Crear Pedido Nuevo para %s"
"Create New Order for %s in %s","Crear Pedido Nuevo para %s en %s"
"Create New Order for New Customer","Crear Pedido Nuevo para el Cliente Nuevo"
"Create New Order for New Customer in %s","Crear Pedido Nuevo para Cliente Nuevo en %s"
"Create Shipment","Crear Envío"
"Create new invoice for order","Crear factura nueva para el pedido"
"Create new shipment for order","Crear envío nuevo para el pedido"
"Created At","Creado En"
"Credit Memo","Nota de crédito"
"Credit Memo #","Nota de crédito número"
"Credit Memo # ","Nota de crédito número "
"Credit Memo Comment Email Sender","Email del remitente de comentario en Nota de crédito"
"Credit Memo Comment Email Template","Plantilla de Email de comentario de Nota de crédito"
"Credit Memo Comment Email Template for Guest","Plantilla de Email de comentario de la Nota de crédito para invitados"
"Credit Memo Comments","Comentarios de la Nota de crédito"
"Credit Memo Email Sender","Remitente de Email de la Nota de crédito"
"Credit Memo Email Template","Plantilla de Email para Nota de crédito"
"Credit Memo Email Template for Guest","Plantilla de Email de Nota de crédito para invitados"
"Credit Memo Update","Actualizar Nota de crédito"
"Credit Memo Update for Guest","Actualizar Nota de crédito para invitados"
"Credit Memo email not sent","Email de Nota de crédito no enviado"
"Credit Memo email sent","Email de Nota de crédito enviado"
"Credit Memos","Notas de crédito"
"Creditmemo","Nota de crédito"
"Custom Options","Opciones de Cupones"
"Custom Price","Precio Personalizado"
"Custom Value","Valor Personalizado"
"Customer","Cliente"
"Customer Group","Grupos de Clientes"
"Customer Name","Nombre del Cliente"
"Customer's Current Activities","Actividades Recientes del Cliente"
"Date","Fecha"
"Date Shipped","Fecha enviada"
"Date of Birth","Fecha de Nacimiento"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","El logo predeterminado, será usado en los documentos PDF y HTML.<br />(jpeg, tiff, png)"
"Delete","Eliminar"
"Description message","Descripción del mensaje"
"Discount","Descuento"
"Discount ","Descuento "
"Discount (%s)","Descuento (%s)"
"Discount :","Descuento :"
"Discount Amount","Monto de descuento"
"Discount%s","Descuento%s"
"Display Order ID in Header","Mostrar pedido ID en el Encabezado"
"Document","Documento"
"Edit","Modificar"
"Edit Gift Messsage","Modificar Mensaje en el Regalo"
"Edit Order #%s","Modificar Pedido #%s"
"Email","Email"
"Email Copy of Credit Memo","Copia de Email de la nota de crédito"
"Email Copy of Invoice","Copia de Email de nota de compra"
"Email Copy of Shipment","Copia del Email del envío"
"Email Order Confirmation","Email de confirmación del pedido"
"Enable","Habilitar"
"Enabled","Habilitar"
"Enter the billing last name and email/ZIP as in the order billing address","Ingresa tu apellido, email o código postal como aparece en tu domicilio de facturación"
"Entered data is incorrect. Please try again.","La información ingresada no es correcta. Corrígela e intanta otra vez."
"Error to show in shopping cart","Error al mostrar el carrito de compra"
"Excl. Tax","No incluye impuestos"
"From","De"
"From Name","Nombre"
"From:","De:"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Compra)"
"Get shipping methods and rates","Obtener tarifas y métodos de envío"
"Gift","Regalo"
"Gift Certificate","Certificado de Regalo"
"Gift Message","Mensaje de Regalo"
"Gift Message for Entire Order","Mensaje en Regalo para Todo el pedido"
"Gift Message for this Order","Mensaje en Regalo para éste Pedido"
"Grand Total","Total"
"Grand Total to be charged","Total a cargar"
"Grand Total:","Total:"
"Guest","Invitado"
"Hold","Esperar"
"Hold action is not available","La acción de espera no está disponible"
"Hold order","Esperar pedido"
"ID","ID"
"If empty, the default description above will be used","Si vacío, la descripción predeterminada de arriba será la usada"
"If empty, the default error above will be used","Si vacío, el error predeterminado de arriba será la usado"
"Incl. Tax","Incl. Impuestos"
"Information","Información"
"Invalid carrier specified.","Transporte especificado inválido."
"Invalid item option format","Formato de artículo opcional inválido"
"Invalid qty to invoice item ""%s""","Cantidad inválida para artículo de nota de compra ""%s"""
"Invalid qty to refund item ""%s""","Cantidad inválida para reembolsar artículo ""%s"""
"Invalid qty to ship for item ""%s""","Cantidad inválida de envío para el artículo ""%s"""
"Invalid renderer model","Modelo reproductor inválido"
"Invalid request for adding product to quote","Solicitud inválida para añadir productos a la cotización"
"Invoice","Factura"
"Invoice #","Factura #"
"Invoice # ","Factura # "
"Invoice #%s","Factura #%s"
"Invoice Comment Email Sender","Remitente de Email de Comentario en Factura"
"Invoice Comment Email Template","Plantilla de Email de Comentario en Factura"
"Invoice Comment Email Template for Guest","Plantilla de Email de Comentario en Factura para Invitado"
"Invoice Comments","Comentarios de Factura"
"Invoice Date","Fecha de Factura"
"Invoice Email Sender","Remitente de Email de Factura"
"Invoice Email Template","Plantilla de Email de Factura"
"Invoice Email Template for Guest","Plantilla de Email de Factura para Invitado"
"Invoice Update","Actualización de Factura"
"Invoice Update for Guest","Actualización de Factura para Invitado"
"Invoice and Packing Slip Design","Diseño de Factura y lista de empaque"
"Invoice can not be canceled","La factura no puede ser cancelada"
"Invoice can not be captured","La factura no puede ser capturada"
"Invoice can not be void","La factura no puede estar vacía"
"Invoice cancel problem","Problemas al cancelar la factura"
"Invoice capture problem","Problemas al capturar la factura"
"Invoice email not sent","Email de Factura no enviado"
"Invoice email sent","Email de Factura enviado"
"Invoice void problem","Problemas al vaciar la factura"
"Invoiced","Facturado"
"Invoices","Facturas"
"Item","Artículo"
"Item Status","Estatus del Artículo"
"Item object is not specified.","El objeto del artículo no está especificado."
"Item option with code %s already exist","Opción de artículo con código %s ya existe"
"Item options declare error","Opciones del artículo manifiesta error"
"Item ordered qty","Cant. de artículos pedidos"
"Item qty declare error","Error de declaración en cantidad de artículos"
"Items Invoiced","Artículos facturados"
"Items Ordered","Artículos pedidos"
"Items Refunded","Artículos reembolsados"
"Items Shipped","Artículos enviados"
"Items options declare error.","Opciones de artículos manifiestan error."
"Items to Invoice","Artículos a facturar"
"Items to Refund","Artículos a reembolsar"
"Items to Ship","Artículos a enviar"
"Last Ordered Items","Recientes"
"Link to the new order","Enlace a el pedido nuevo"
"Link to the previous order","Enlace a el pedido previo"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo únicamente para documentos HTML. Si vacio, se usará el predeterminado.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo para la vista impresa en HTML"
"Logo for PDF print-outs (200x50)","Logo (200x50) para salidas de impresión PDF"
"Message","Mensaje"
"Message:","Mensaje:"
"Middle Name","Segundo nombre"
"Minimum amount","Monto mínimo"
"Minimum order amount","Monto mínimo"
"Mixed","Mezclado"
"Move to Shopping Cart","Mover al carrito"
"Move to Wishlist","Mover a la lista de deseos"
"Multi-address description message","Mensaje de la descripción de direcciones múltiples"
"Multi-address error to show in shopping cart","Error en direcciones múltiples para mostrar en el carrito de compra"
"My Orders","Mis Pedidos"
"My Orders - Details","Mis Pedidos - Detalles"
"Name","Nombre"
"New","Nuevo"
"New Credit Memo","Nueva Nota de crédito"
"New Credit Memo for Guest","Nota de crédito para invitados"
"New Invoice","Factura Nueva"
"New Invoice for Guest","Factura Nueva para Invitado"
"New Credit Memo for Invoice #%s","Nueva nota de crédito para la factura #%s"
"New Credit Memo for Order #%s","Nueva nota de crédito del pedido #%s"
"New Order","Pedido Nuevo"
"New Order Confirmation Email Sender","Remitente de Email de confirmación de pedido nuevo"
"New Order Confirmation Template","Plantilla de confirmación de pedido nuevo"
"New Order Confirmation Template for Guest","Plantilla de confirmación de pedido nuevo para invitado"
"New Order RSS","RSS de el Pedido Nuevo"
"New Order for Guest","Pedido Nuevo para Invitado"
"New Shipment","Envío Nuevo"
"New Shipment for Guest","Envío Nuevo para Invitado"
"New Status","Estatus Nuevo"
"Newsletter Subscription","Suscripción al Boletín de Noticias"
"No Items","Sin artículos"
"No Items To Refund","Sin artículos para reembolsar"
"No Payment Methods","No hay Métodos de Pago"
"No detail for number ""%s""","No hay detalles para el número ""%s"""
"No items","Sin artículos"
"No ordered items","Sin artículos pedidos"
"No shipping information available","La información del envío no está disponible"
"Not Capture","Sin capturar"
"Not Notified","Sin notificar"
"Notified","Notificado"
"Notify Customer","Notificar al cliente"
"Notify Customer by Email","Notify Customer by Email"
"Number","Número"
"On Hold","En espera"
"Order","Pedido"
"Order #","Pedido "
"Order # %s","Pedido %s"
"Order # %s %s | %s","Pedido %s %s | %s"
"Order # ","Pedido  "
"Order # %s","Pedido %s"
"Order #%s","Pedido %s"
"Order #%s - %s","Pedido %s - %s"
"Order API","API del pedido"
"Order Comment","Comentario del pedido"
"Order Comment Email Sender","Remitente de Email de comentario de pedido"
"Order Comment Email Template","Plantilla de Email de comentario de pedido"
"Order Comment Email Template for Guest","Plantilla de Email de comentario de pedido para invitado"
"Order Comments","Comentarios del pedido"
"Order Credit Memos","Memorándums de Crédito del pedido"
"Order Currency:","Divisa de pedido:"
"Order Date","Fecha de pedido"
"Order Date (%s)","Fecha de pedido (%s)"
"Order Date: ","Fecha de pedido: "
"Order Date: %s","Fecha de pedido: %s"
"Order Details","Detalles del pedido"
"Order Grand Total","Total del pedido"
"Order History","Historial del pedido"
"Order Information","Información del pedido"
"Order Invoices","Facturas del pedido"
"Order Shipments","Envíos del pedido"
"Order Status","Estatus del pedido"
"Order Subtotal","Subtotal del pedido"
"Order Subtotal:","Subtotal del pedido:"
"Order Total","Total del pedido"
"Order Totals","Totales del pedido"
"Order Update","Actualización del pedido"
"Order Update for Guest","Actualización del pedido para invitado"
"Order View","Ver pedido"
"Order invoice","Factura del pedido"
"Order object is not specified.","Objeto del pedido no está especificado."
"Order saving error: %s","Error al guardar el pedido: %s"
"Order shipments","Envíos del pedido"
"Order was not cancelled.","El pedido no fue cancelado."
"Order was not put on hold.","El pedido no ha sido puesto en espera."
"Order was not unholded.","El pedido no fue cambiado de estatus en espera."
"Order was placed using %s","El pedido fue puesto usando %s"
"Order was successfully cancelled.","El pedido fue cancelado satisfactoriamente."
"Order was successfully put on hold.","El pedido fue puesto en espera satisfactoriamente."
"Order was successfully released from holding status.","El pedido fue liberada satisfactoriamente del estatus en espera."
"Ordered","Ordenado"
"Orders","Pedidos"
"Original Price","Precio original"
"PDF Credit Memos","Memorándums de crédito en PDF"
"PDF Invoices","Facturas en PDF"
"PDF Packingslips","Listas de artículos de paquete en PDF"
"PDF Print-outs","Salidas de impresión PDF"
"PDF object is not specified.","Objeto PDF no está especificado."
"PDF page object is not specified.","Objeto página PDF no está especificado."
"Packingslip # ","Lista de artículos en paquete # "
"Paid","Pagado"
"Paid Amount","Monto pagado"
"Partial","Parcial"
"Payment Failed","Pago fallido"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment Method:","Método de pago:"
"Pending","Pendiente"
"Pending PayPal","PayPal pendiente"
"Pending Payment","Pago pendiente"
"Placed from IP","Puesta desde IP"
"Please enter positive number in this field.","Introduzca número positivo en este campo por favor."
"Please select a customer","Seleccione un cliente por favor"
"Please select a store","Seleccione una tienda por favor"
"Please select products to add","Seleccione los productos a agregar por favor"
"Price","Precio"
"Print","Imprimir"
"Print All","Imprimir todo"
"Print All Invoices","Imprimir todas las facturas"
"Print All Refunds","Imprimir todos los reembolsos"
"Print All Shipments","Imprimir todos los envíos"
"Print Credit Memos","Imprimir memorándums de crédito"
"Print Invoice","Imprimir factura"
"Print Invoices","Imprimir factura"
"Print Order","Imprimir pedido"
"Print Order # %s","Imprimir pedido # %s"
"Print Packingslips","Imprimir lista de artículos de paquete"
"Print Refund","Imprimir reembolso"
"Print Shipment","Imprimir envío"
"Processing","Procesando"
"Processing data problem","Procesando problema de datos"
"Product","Producto"
"Product Name","Nombre del producto"
"Products","Productos"
"Products in Compare List","Productos en lista de comparación"
"Purchased From","Comprado desde"
"Purchased On","Comprado en"
"Purchased from (store)","Comprado desde (tienda)"
"QTY","CANT."
"Qty","Cant."
"Qty Invoiced","Cant. Facturada"
"Qty Ordered","Cant. Pedida"
"Qty Shipped","Cant. Enviada"
"Qty To Add","Cant. a añadir"
"Qty to Invoice","Cant. a facturar"
"Qty to Refund","Monto a reembolsar"
"Qty to Ship","Cant. a enviar"
"Recent Orders","Pedidos recientes"
"Recently Compared Products","Productos comparados recientemente"
"Recently Viewed","Vistos recientemente"
"Recently Viewed Products","Productos vistos recientemente"
"Refresh","Refrescar"
"Refund","Reembolsar"
"Refund #","# de reembolso"
"Refund #%s","#%s de reembolso"
"Refund Amount","Monto de reembolso"
"Refund Offline","Aplicar nota de crédito"
"Refund Shipping","Reembolso del envío"
"Refund Totals","Reembolsos totales"
"Refunded","Reembolsado"
"Refunds","Reembolsos"
"Remove","Quitar"
"Remove Coupon Code","Quitar código de cupón"
"Remove tracking number","Quitar el número de guía"
"Reorder","Repetir pedido"
"Retrieve invoice info","Recuperar información de factura"
"Retrieve invoice information","Recuperar información de factura"
"Retrieve list of invoices by filters","Recuperar lista de facturas por filtros"
"Retrieve list of orders by filters","Recuperar lista de pedidos por filtros"
"Retrieve list of shipments by filters","Recuperar lista de envíos por filtros"
"Retrieve order information","Recuperar información de pedido"
"Retrieve orders info","Recuperar información de pedido"
"Retrieve shipment info","Recuperar información de envío"
"Retrieve shipment information","Recuperar información de envío"
"Return to Stock","Regresar a Existencias"
"Returned","Regresados"
"Row Subtotal","Renglón de subtotal"
"Row Total","Renglón del total"
"SHIP TO:","ENVIAR A:"
"SKU","SKU"
"SOLD TO:","VENDIDO A:"
"Sales","Ventas"
"Sales Emails","Emails de ventas"
"Sales Emails Section","Sección de Emails de ventas"
"Sales Section","Sección de ventas"
"Same As Billing Address","Igual al domicilio de facturación"
"Save and Close Message","Mensaje de Guardar y Cerrar"
"Save in address book","Guardar en libro de direcciones"
"Select from existing customer addresses:","Seleccionar de un domicilio existente del cliente:"
"Send Credit Memo Comment Email Copy To","Enviar copia de Email de comentario de la Nota de crédito a"
"Send Credit Memo Email Copy To","Enviar copia de Email de la Nota de crédito a"
"Send Invoice Comment Email Copy To","Enviar Copia de Email de Comentario de Factura A"
"Send Invoice Email Copy To","Enviar Copia de Email de Factura A"
"Send Order Comment Email Copy To","Enviar Copia de Email de Comentario de Pedido A"
"Send Order Email Copy Method","Método de Copia de Envío de Email"
"Send Order Email Copy To","Enviar Copia de Email del Pedido A"
"Send Shipment Comment Email Copy To","Enviar Copia de Email de Comentario de Envío A"
"Send Shipment Email Copy To","Enviar Copia de Email de Envío A"
"Send Tracking Information","Enviar Información de Rastreo"
"Ship","Enviar"
"Ship To","Enviar a"
"Ship to First name","Envío al nombre de pila"
"Ship to Last name","Envío al apellido"
"Ship to Name","Envío al nombre"
"Shipment","Envío"
"Shipment #","# de envío"
"Shipment #%s","#%s de envío"
"Shipment Comment Email Sender","Remitente de Email de comentario de envío"
"Shipment Comment Email Template","Plantilla de Email de Comentario de Envío"
"Shipment Comment Email Template for Guest","Plantilla de Email de Comentario de Envío para Invitado"
"Shipment Comments","Comentarios de envío"
"Shipment Email Sender","Remitente de Email de envío"
"Shipment Email Template","Plantilla de Email del envío"
"Shipment Email Template for Guest","Plantilla de Email del envío para invitado"
"Shipment Update","Actualización de envío"
"Shipment Update for Guest","Actualización de envío para invitado"
"Shipment email not sent","Email de cnvío no enviado"
"Shipment email sent","Enviar Email del envío"
"Shipments","Envíos"
"Shipped","Enviado"
"Shipped By","Enviado por"
"Shipping","Envío"
"Shipping & Handling","Envío y manejo"
"Shipping & Handling:","Envío y manejo:"
"Shipping &amp; Handling","Envío y manejo"
"Shipping &amp; Handling Information","Información de envío y manejo"
"Shipping Address","Domicilio de envío"
"Shipping Amount","Monto de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shipping Method:","Método de envío:"
"Shipping Refund","Reembolso de envío"
"Shipping and Tracking Information","Información de envío y rastreo"
"Shopping Cart","Carrito de compras"
"Signed Up From","Registrado desde"
"Sku","SKU"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Algunos artículos tienen cantidades que exceden la cantidad permitida. Por favor seleccione una cantidad menor para finalizar la compra."
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Algunos de los productos de abajo no tienen todas las opciones requeridas. Quitelas y vuelva a añadirlos con todas las opciones requeridas."
"Sorry, no quotes are available for this order at this time.","Disculpe, no hay cotizaciones disponibles para este pedido por ahora."
"Source object is not specified.","El objeto fuente no está especificado."
"State/Province","Estado/Provincia"
"Status","Estatus"
"Store Credit","Crédito en tienda"
"Submit Comment","Guardar comentario"
"Submit Credit Memo","Realizar Nota de crédito"
"Submit Invoice","Aplicar factura"
"Submit Order","Realizar pedido"
"Submit Shipment","Realizar envío"
"Subscribe to Newsletter","Suscribirse al Boletín de noticias"
"Subscribe to Order Status","Suscribirse al Estatus de el pedido"
"Subtotal","Subtotal"
"Subtotal after discount","Subtotal después del descuento"
"Subtotal:","Subtotal:"
"TAX/VAT Number","Número de IMPUESTOS/IVA"
"Tax","Impuestos"
"Tax :","Impuestos :"
"Tax Amount","Monto de impuesto"
"Tax Percent","Porcentaje de impuestos"
"Telephone","Teléfono"
"The item %s (SKU %s) doesn't exist in the catalog anymore","El artículo %s (SKU %s) ya no existe en el catálogo"
"There are no printable documents related to selected orders","No hay documentos imprimibles para los Pedidos seleccionados"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","Este mensaje será mostrado en el carrito de compra cuando el subtotal después del descuento sea menor al monto mínimo"
"This order no longer exists.","Éste pedido ya no existe."
"Tier Pricing","Nivel de Precios"
"Title","Título"
"To","Para"
"To Name","A Nombre"
"To:","Para:"
"Total %d product(s)","Total %d producto(s)"
"Total Due","Deuda total"
"Total Paid","Total pagado"
"Total Qty","Cant. Total"
"Total Refund","Reembolso total"
"Total Refunded","Total reembolsado"
"Total Shipping Charges","Total de cargos en los envíos"
"Total Tax","Total de impuestos"
"Total(ex)","Total(exc)"
"Total(inc)","Total(incl.)"
"Track Order","Rastrear pedido"
"Track all shipment(s)","Rastrear lo(s) envío(s)"
"Track all shipments","Rastrear todos los envíos"
"Track this shipment","Rastrear éste envío"
"Track your order","Rastrear su pedido"
"Tracking","Rastreando"
"Tracking Number","Número de guía"
"Tracking Number(s)","Número(s) de guía"
"Unhold","Liberar"
"Unhold order","Pedido liberado"
"Unknown State","Estado desconocido"
"Unknown Status","Estatus desconocido"
"Update Changes","Actualizar cambios"
"Update Items and Qty's","Actualizar artículos y montos"
"Update Qty's","Actualizar cantidades"
"Validate each address separately in multi-address checkout","Validar cada domicilio por separado en el pago de domicilios múltiples"
"View","Ver"
"View All","Ver todo"
"View Order","Ver pedido"
"Void","Caduco"
"Void invoice","Vaciar factura"
"Website","Sitio Web"
"Wishlist","Lista de deseos"
"You have placed no orders.","Aún no tienes pedidos registrados."
"ZIP/Post Code","Código Postal/C.P."
"separate by "",""","separar por "","""
"My Orders","Mis pedidos"
"Orders and Returns","Pedidos y devoluciones"
"Order ID","Número de pedido"
"Billing Last Name","Nombre usado en la facturación"
"Find Order By:","Buscar pedido por:"
"Email Address","Dirección de correo electrónico"
"ZIP Code","Código Postal"
"cm","cm"
"in","in"
"kg","kg"
"lb","lb"
"the credit memo email is not sent","el Email de la Nota de crédito no se envió"
"the credit memo email was sent","El Email de la nota de crédito se envió"
"the invoice email is not sent","El Email de la factura no se envió"
"the invoice email was sent","El Email de la factura se envió"
"the order confirmation email is not sent","el Email de confirmación del pedido no se envió"
"the order confirmation email was sent","El Email de confirmación del pedido se envío"
"the shipment email is not sent","El Email del envío no se envió"
"the shipment email was sent","El Email del envío se envió"
